X,Y,OBJECTID,PREVSTN,STNNAME,TOSTN,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS
-87.639167999703375,41.878731000335449,380,START,CHI,JOL,"Chicago (Union Station), Illinois",225 South Canal Street,,Chicago,IL,60606,RAIL,17
-88.079140000410632,41.524876000427128,13,CHI,JOL,PON"Joliet, Illinois",50 East Jefferson Street,Union Station,Joliet,IL,60431,RAIL,17
-88.63649699953686,40.879439999956105,627,JOL,PON,BNL,"Pontiac, Illinois",721 West Washington St.,,Pontiac,IL,61764,RAIL,17
-88.984038999700033,40.508347000114043,346,PON,BNL,LCN,"Bloomington-Normal, Illinois",100 East Parkinson St.,,Normal,IL,61761-3015,RAIL,17
-89.363303999579898,40.147537000532225,238,BNL,LCN,SPI,"Lincoln, Illinois",Broadway and North Chicago Sts.,,Lincoln,IL,62656,RAIL,17
-89.65167199946319,39.801585999993961,759,LCN,SPI,CRV,"Springfield, Illinois",East Washington and North Third Sts.,,Springfield,IL,62701-1106,RAIL,17
-89.888915999773531,39.279327000640592,47,SPI,CRV,ALN,"Carlinville, Illinois",128 Alton Rd.,,Carlinville,IL,62626-1625,RAIL,17
-90.13494899979645,38.904490999959705,294,CRV,ALN,STL"Alton, Illinois",3400 College Ave.,,Alton,IL,62002-5000,RAIL,17
-90.205452000009757,38.623947000253906,777,ALN,STL,PBF,"St. Louis, Missouri",551 South 16th St.,,St. Louis,MO,63103,RAIL,29
-90.393433000232733,36.753985999854081,602,STL,PBF,WNR,"Poplar Bluff, Missouri",400 South Main St.,,Poplar Bluff,MO,63901-5855,RAIL,29
-90.956160999730344,36.068317000229456,506,PBF,WNR,LRK,"Walnut Ridge, Arkansas",109 Southwest Front Street,,Walnut Ridge,AR,72476,RAIL,05
-92.286377000198343,34.750350999898785,274,WNR,LRK,MVN,"Little Rock, Arkansas",1400 West Markham Street,,Little Rock,AR,72201,RAIL,05
-92.812355000183061,34.365916999969613,528,LRK,MVN,ARK,"Malvern, Arkansas",200 East First St.,,Malvern,AR,72104-3922,RAIL,05
-93.052444000390267,34.114376000452125,307,MVN,ARK,HOP"Arkadelphia, Arkansas",798 South 5th St.,,Arkadelphia,AR,71923-6237,RAIL,05
-93.59221100043726,33.668948999996417,859,ARK,HOP,TXA,"Hope, AR",100 East Division Street,,Hope,AR,71801,RAIL,05
-94.042442000298024,33.420074000214981,455,HOP,TXA,MHL,"Texarkana, Arkansas",100 East Front Street,,Texarkana,AR,71854-5907,RAIL,05
-94.366843999950618,32.551350000002572,426,TXA,MHL,LVW,"Marshall, Texas",800 North Washington Street - suite 2,,Marshall,TX,75670-5330,RAIL,48
-94.72526600002584,32.495872000192719,401,MHL,LVW,MIN,"Longview, Texas",905 Pacific Ave.,,Longview,TX,75602,RAIL,48
-95.490134999830332,32.66187999976222,430,LVW,MIN,DAL,"Mineola, Texas",115 East Front St.,,Mineola,TX,75773-2453,RAIL,48
-96.807404000394286,32.775542999210074,60,MIN,DAL,FTW,"Dallas, Texas",400 South Houston St.,Union Station,Dallas,TX,75202-4840,RAIL,48
-97.323867999608467,32.749374000209968,149,DAL,FTW,CBR,"Fort Worth, Texas",1001 Jones Street,,Fort Worth,TX,76102,RAIL,48
-97.381660000008935,32.348334999860413,373,FTW,CBR,MCG,"Cleburne, Texas",206 North Border St.,Cleburne Intermodal Depot,Cleburne,TX,76031-4236,RAIL,48
-97.40172599995492,31.437921999900425,412,CBR,MCG,TPL,"McGregor, Texas",1 Amtrak Blvd.,,McGregor,TX,76657,RAIL,48
-97.344803000058391,31.09537900004085,807,MCG,TPL,TAY,"Temple, Texas",315 West Ave B,,Temple,TX,76501,RAIL,48
-97.40879799962795,30.567435999371924,791,TPL,TAY,AUS,"Taylor, Texas",118 East First St.,Union Pacific Yard Office,Taylor,TX,76574-3627,RAIL,48
-97.755569000209164,30.269092999942018,316,TAY,AUS,SMC,"Austin, Texas",250 North Lamar Blvd.,,Austin,TX,78703,RAIL,48
-97.935676999793657,29.879232000656373,743,AUS,SMC,SAS,"San Marcos, Texas",338 South Guadalupe St.,San Marcos Intermodal Station,San Marcos,TX,78666-6310,RAIL,48
